-ilities|developmental, operational, and support requirements a program addresses (ISO/IEC/IEEE 24765l:2024)|
abstract design|design aimed at producing designs|ISO/IEC/IEEE 24765:2017 Systems and software engineering-Vocabulary
abstraction|view of an object that focuses on the information relevant to a particular purpose and ignores the remainder of the information|ISO/IEC/IEEE 24765l:2024
abstraction|process of suppressing irrelevant detail to establish a simplified model, or the result of that process (ISO/IEC 10746-2:2009 Information technology -- Open Distributed Processing -- Reference Model: Foundations, 6.3)|
AC|actual cost (A Guide to the Project Management Body of Knowledge (PMBOK(R) Guide) -- Seventh Edition)|
AC|access control|IEEE 7005 2021, IEEE Standard for Transparent Employer Data Governance, 3.2
acceptability|exposure to loss (financial or otherwise) that an organization is willing to tolerate from a risk|ISO/IEC/IEEE 24765:2017 Systems and software engineering-Vocabulary
acceptability|extent to which a human response is favorable when accepting or installing a product, system, or service software tool designed to perform some frequently used function (ISO/IEC 25019:2023, Systems and software engineering Systems and software Quality Requirements and Evaluation (SQuaRE) Quality-in-use model, 3.2.3)|
acceptability criteria|documented set of characteristics of a program's work products that if satisfied, forms a sufficient basis for judging each product's content to be acceptable to support a successful review or audit|ISO/IEC/IEEE 24748-8:2019, Systems and software engineering Life cycle management Part 7: Application of systems engineering on defense programs, 3.1
acceptable|meeting stakeholder expectations that can be shown to be reasonable or merited|ISO/IEC/IEEE 24765c:2014
acceptance|action by an authorized representative of the acquirer by which the acquirer assumes ownership of products as partial or complete performance of an agreement|ISO/IEC/IEEE 24748-5:2017 Systems and software engineering--Life cycle management--Part 5: Software development planning, 3.1
acceptance criteria|criteria that a system or component is required to satisfy to be accepted by a user, customer, or other authorized entity|ISO/IEC 33202:2024, Software and systems engineering Core agile practices, 3.1
acceptance test|test of a system or functional unit usually performed by the purchaser on his premises after installation with the participation of the vendor to help ensure that the contractual requirements are met (ISO/IEC 2382:2015 Information technology -- Vocabulary)|
acceptance test-driven development (ATDD)|development method in which team members with various backgrounds [developers, testers and business analysts] jointly write the acceptance tests before development of the relevant functionality (ISO/IEC TR 7052:2023, Software engineering--Controlling frequently occurring risks during development and maintenance of custom software, 3.1)|
acceptance testing|testing conducted to determine whether a system satisfies its acceptance criteria and to enable the customer to determine whether to accept the system|IEEE 1012-2024 IEEE Standard for System, Software, and Hardware Verification and Validation, 3
acceptance testing|formal testing conducted to enable a user, customer, or other authorized entity to determine whether to accept a system or component (IEEE 1012-2024 IEEE Standard for System, Software, and Hardware Verification and Validation, 3.1)|
access|to obtain the use of a resource|ISO/IEC 2382:2015 Information technology -- Vocabulary
access facility|set of service primitives that allow a stub objects to negotiate the abstract and transfer syntax to be used for the operation data to be transmitted over the channel|ISO/IEC 14752:2000 Information technology -- Open Distributed Processing -- Protocol support for computational interactions, 3.3.1
access method|technique to obtain the use of data, the use of storage in order to read or write data, or the use of an input-output channel to transfer data|ISO/IEC 2382:2015 Information technology -- Vocabulary
access routine|routine that provides access to a data structure that is hidden, usually because it is a global variable or used in an abstract data type.|ISO/IEC/IEEE 24765:2017 Systems and software engineering-Vocabulary
access transparency|distribution transparency which masks differences in data representation and invocation mechanisms to enable interworking between objects|ISO/IEC 10746-3:2009 Information technology -- Open Distributed Processing -- Reference Model: Architecture, 4.4.1.1
accessibility|extent to which products, systems, services, environments, and facilities can be used by people from a population with the widest range of user needs, characteristics, and capabilities to achieve identified goals in identified contexts of use (ISO TR 25060:2023 Systems and software engineering--Systems and software Quality Requirements and Evaluation (SQuaRE)--General Framework for Common Industry Format (CIF) for usability-related information, 3.1.14) (IEC/IEEE 82079-1:2019 Preparation of information for use (instructions for use) of products: Part 1: Principles and general requirements, 3.1)|
accessibility|degree to which a product or system can be used by people with the widest range of characteristics and capabilities to achieve a specified goal in a specified context of use (ISO/IEC 25010:2011 Systems and software engineering--Systems and software Quality Requirements and Evaluation (SQuaRE)--System and software quality models, 4.2.4.6)|
accessibility|usability of a product, service, environment, or facility by people with the widest range of capabilities (ISO/IEC 25062:2025 Systems and software engineering -- Systems and software product Quality Requirements and Evaluation (SQuaRE) -- Common Industry Format (CIF) for reporting usability evaluations, 4.1)|
accessibility||
accessibility testing|type of usability testing used to measure the degree to which a test item can be operated by users with the widest possible range of characteristics and capabilities|ISO/IEC/IEEE 29119-1:2022, Software and systems engineering--Software testing--Part 1: General concepts, 3.2
accident|unplanned event or series of events that results in death, injury, illness, environmental damage, or damage to or loss of equipment or property (IEEE 1228-1994 (R2002) IEEE Standard for Software Safety Plans, 3.1.1)|
accountability|capability of a product to enable actions of an entity to be traced uniquely to the entity (ISO/IEC 25010:2023, Systems and software engineering--Systems and software Quality Requirements and Evaluation (SQuaRE)- -Product quality model, 3.6.4)|
accuracy|qualitative assessment of correctness, or freedom from error|ISO/IEC/IEEE 24765:2017 Systems and software engineering-Vocabulary
accuracy|in machine learning, a performance metric used to evaluate a classifier, which measures the proportion of classifications predictions that were correct|ISO/IEC TR 29119-11:2020, Software and systems engineering--Software testing--Part 11: Guidelines on the testing of AI-based systems, 3.1.2
accuracy|Within the quality management system, accuracy is an assessment of correctness (A Guide to the Project Management Body of Knowledge (PMBOK(R) Guide) -- Seventh Edition)|
accuracy|quality of information that it is correct and consistent with a product (ISO/IEC/IEEE 26514:2022, Systems and software engineering -- Design and development of information for users, 3.1.2)|
accuracy of measurement|closeness of the agreement between the result of a measurement and the true value of the measurand (ISO/IEC TR 14143-3:2003 Information technology -- Software measurement -- Functional size measurement -- Part 3: Verification of functional size measurement methods, 3.1)|
ACIA|asynchronous communication interface adapter|ISO/IEC/IEEE 24765d:2015
ACID|Atomicity Consistency Isolation Durability|ISO/IEC 10746-1:1998 Information technology -- Open Distributed Processing -- Reference model: Overview
acknowledged system of systems|system of systems (SoS) with recognized objectives, a designated manager, and resources for the SoS (ISO/IEC/IEEE 21841:2019 Systems and software engineering--Taxonomy of systems of systems, 3.2.1)|
acquirer|stakeholder that acquires or procures a product or service from a supplier|ISO/IEC TS 33064:2025, Information technology Process assessment Process assessment model for safety processes, 4.1
acquirer|person or organization that acquires or procures a system, software product, or software service (which can be part of a system) from a supplier|ISO/IEC TR 12182:2015 Systems and software engineering--Framework for categorization of IT systems and software, and guide for applying it, 3.13
acquirer|stakeholder that acquires or procures a system, product, or service from a supplier (ISO/IEC/IEEE 12207:2026 Systems and software engineering--Software life cycle processes, 3.1.1) (ISO/IEC/IEEE 15288:2023 Systems and software engineering--System life cycle processes, 3.1)|
acquisition|process of obtaining a system, product, or service (ISO/IEC/IEEE 12207:2026 Systems and software engineering--Software life cycle processes, 3.1.2) (ISO/IEC/IEEE 15288:2023 Systems and software engineering--System life cycle processes, 3.2)|
acquisition logistics|technical and management activities conducted to ensure supportability implications, considered early and throughout the acquisition process to minimize support costs and to provide the user with the resources to sustain the system in the field|INCOSE Systems Engineering Handbook, 5th ed.
acquisition strategy|specific approach to acquiring products and services that is based on considerations of supply sources, acquisition methods, requirements specification types, contract or agreement types, and related acquisition risks|ISO/IEC/IEEE 24765:2017 Systems and software engineering-Vocabulary
action|element of a step that a user performs during a procedure|ISO/IEC/IEEE 26514:2022, Systems and software engineering -- Design and development of information for users, 3.1.3
action|description of an operation to be taken in the formulation of a solution|ISO 5806:1984 Information processing -- Specification of single-hit decision tables, 3.7
action|something which happens|ISO/IEC 10746-2:2009 Information technology -- Open Distributed Processing -- Reference Model: Foundations, 8.3
action|user behavior that a system accepts as a request for a particular operation (ISO TR 25060:2023 Systems and software engineering--Systems and software Quality Requirements and Evaluation|
action entry|indication of the relevance of an action to a particular rule|ISO 5806:1984 Information processing -- Specification of single-hit decision tables, 3.9
action of interest|action in a transaction which leads to a state change of significance to the transaction|ISO/IEC 10746-3:2009 Information technology -- Open Distributed Processing -- Reference Model: Architecture, 13.7.1.2
action signature|specification of an action that comprises the name for the action, the number, names and types of its parameters, and an indication of the causality of the object that instantiates the action template|ISO/IEC 10746- 2:2009 Information technology -- Open Distributed Processing -- Reference Model: Foundations, 9.14
action stub|list of all the actions to be taken in the solution of a problem|ISO 5806:1984 Information processing -- Specification of single-hit decision tables, 3.11
activation|one occurrence of a function's transformation of some subset of its inputs into some subset of its outputs|ISO/IEC/IEEE 24765m:2024, 2.1.3
activation constraint|function's requirement for the presence of a non-empty object set in a particular arrow role as a precondition for some activation of the function|ISO/IEC/IEEE 24765m:2024, 2.1.4
activation function|&lt;neural network&gt; formula associated with a node in a neural network that determines the output of the node (activation value) from the inputs to the neuron (ISO/IEC TR 29119-11:2020, Software and systems engineering--Software testing--Part 11: Guidelines on the testing of AI-based systems, 3.1.3)|
activation value|output of an activation function of a node in a neural network|ISO/IEC TR 29119-11:2020, Software and systems engineering--Software testing--Part 11: Guidelines on the testing of AI-based systems, 3.1.4
active area|(on-screen documentation) area that responds to user input|ISO/IEC/IEEE 26514:2022, Systems and software engineering -- Design and development of information for users, 3.1.4
active enterprise object|enterprise object that is able to fill an action role|ISO/IEC 15414:2015 Information technology -- Open distributed processing -- Reference model -- Enterprise language, 6.3.1
active interconnection|physical interaction mechanism allowing the action of one thing to cause a change or to stimulate an action in another thing|ISO/IEC/IEEE 24765i:2020
active redundancy|in fault tolerance, the use of redundant elements operating simultaneously to prevent, or permit recovery from, failures (ISO/IEC/IEEE 24765:2017 Systems and software engineering-Vocabulary)|
active text|text displayed on the screen that responds to user input|ISO/IEC/IEEE 24765:2017 Systems and software engineering-Vocabulary
active white space|area around textual or graphical elements, not including margins, which breaks up text, separates topic and subtopic groupings, indicates hierarchical and topical relationships, highlights information, or makes text easier to read|ISO/IEC/IEEE 24765a:2011
activities|events in the software life cycle for which effort data is collected and reported.|
activity|set of cohesive tasks of a process (ISO/IEC/IEEE 12207:2026 Systems and software engineering-- Software life cycle processes, 3.1.3) (ISO/IEC/IEEE 15288:2023 Systems and software engineering--System life cycle|
activity group|set of related activities|ISO/IEC/IEEE 24765:2017 Systems and software engineering-- Vocabulary
activity list|a documented tabulation of schedule activities that shows the activity description, activity identifier, and a sufficiently detailed scope of work description so project team members understand what work is to be performed (A Guide to the Project Management Body of Knowledge (PMBOK(R) Guide) -- Seventh Edition)|
activity type|classification of activities defined by the execution of the same algorithm|ISO/IEC 14756:1999 Information technology -- Measurement and rating of performance of computer-based software systems, 4.2
activity-based costing (ABC)|cost accounting method that allocates overhead costs based on specific production activities rather than allocating from a single overhead pool|ISO/IEC/IEEE 24765:2017 Systems and software engineering-Vocabulary
activity-oriented WBS|work breakdown structure in which activities and tasks are denoted by verbs that indicate work to be accomplished (Software Extension to the PMBOK(R) Guide Fifth Edition)|
actor|role (with respect to that action) in which the enterprise object fulfilling the role participates in the action|ISO/IEC 15414:2015 Information technology -- Open distributed processing -- Reference model -- Enterprise language, 6.3.2
actor|organization or CASE tool that supplies or acquires SEE services|ISO/IEC 15940:2013 Systems and software engineering--Software Engineering Environment Services, 2.10
actor|in UML, someone or something outside the system that interacts with the system (ISO/IEC/IEEE 24765:2017 Systems and software engineering-Vocabulary)|
actual cost (AC)|realized cost incurred for the work performed on an activity during a specific time period (A Guide to the Project Management Body of Knowledge (PMBOK(R) Guide) -- Seventh Edition)|
actual depreciation|true loss in value of an asset, determined only when the asset is sold|ISO/IEC/IEEE 24765:2017 Systems and software engineering-Vocabulary
actual dollar analysis|addressing inflation or deflation by using cash-flow amounts that represent actual|
actual results|set of behaviors or conditions of a test item, or set of conditions of associated data or the test environment, observed as a result of test execution (ISO/IEC/IEEE 29119-2:2021, Software and systems engineering-- Software testing--Part 2: Test processes, 3.1)|
ACWP|actual cost of work performed|ISO/IEC/IEEE 24765c:2014
ad hoc reviewing|unstructured independent review technique|ISO/IEC 20246:2017 Software and systems engineering -- Work product reviews, 3.1
adaptability|ability of a system to react to changes in its environment in order to continue meeting both functional and non-functional requirements|ISO/IEC TR 29119-11:2020, Software and systems engineering--Software testing--Part 11: Guidelines on the testing of AI-based systems, 3.1.5
adaptability|capability of a product to be effectively and efficiently adapted for or transferred to different hardware, software or other operational or usage environments (ISO/IEC 25010:2023, Systems and software engineering--Systems and software Quality Requirements and Evaluation (SQuaRE)- -Product quality model, 3.8.1)|
adaptation data|data used to adapt a program to a given installation site or to given conditions in its operational environment|ISO/IEC/IEEE 24765:2017 Systems and software engineering-Vocabulary
adaptation parameter|variable that is given a specific value to adapt a program to a given installation site or to given conditions in its operational environment|ISO/IEC/IEEE 24765:2017 Systems and software engineering- Vocabulary
adapter|software or device that allows incompatible systems to be interfaced|ISO/IEC/IEEE 24765l:2024
adaptive approach|development approach in which the requirements are subject to a high level of uncertainty and volatility and are likely to change throughout the project (A Guide to the Project Management Body of Knowledge (PMBOK(R) Guide) -- Seventh Edition)|
adaptive life cycle|a project life cycle that is iterative or incremental (A Guide to the Project Management Body of Knowledge (PMBOK(R) Guide) -- Seventh Edition)|
adaptive maintenance|modification of a software product, performed after delivery, to keep a software product usable in a changed or changing environment (ISO/IEC/IEEE 14764:2021, Software engineering -- Software life cycle processes -- Maintenance, 3.1.1)|
adaptive strategy|technique that people with disabilities use to improve interaction with the web (ISO/IEC 29110-5-1-2:2025 Systems and software engineering Life cycle profiles for very small entities (VSEs) Part 5-1-2: Software engineering guidelines for the generic Basic profile, 3.4)|
adaptive support|modification of an in-service system of interest performed after installation to keep it usable in a changed or changing runtime environment (IEEE 982:2024, Standard for Measures of the Software Aspects of|
added source statements|count of source statements that were created specifically for the software product|ISO/IEC/IEEE 24765:2017 Systems and software engineering-Vocabulary
additive maintenance|modification of a software product performed after delivery to add functionality or features to enhance the usage of the product (ISO/IEC/IEEE 14764:2021, Software engineering -- Software life cycle processes -- Maintenance, 3.1.2)|
additive support|modification of an in-service system performed after installation to add functionality or features to a system instance (IEEE 982:2024, Standard for Measures of the Software Aspects of Dependability, 3.1)|
additive weighting|assignment of different values to increase the importance of selected decision attributes (ISO/IEC/IEEE 24765:2017 Systems and software engineering-Vocabulary)|
address|number, character, or group of characters that identifies a given device or storage location|ISO/IEC/IEEE 24765:2017 Systems and software engineering-Vocabulary
address|to refer to a device or storage location by an identifying number, character, or group of characters|ISO/IEC/IEEE 24765:2017 Systems and software engineering-Vocabulary
address|to deal with, to take into consideration; (specifically) to decide whether and when a defined documentation topic is to be included, either directly or by reference to another document; to decide whether an item is to be recorded prior to the test execution (in a tool or not in a tool), recorded during the test execution, recorded post-test execution, not recorded (addressed by the process), or excluded|ISO/IEC/IEEE 24765:2017 Systems and software engineering--Vocabulary
address field|field of a computer instruction that contains addresses, information necessary to derive addresses, or values of operands (ISO/IEC/IEEE 24765:2017 Systems and software engineering-Vocabulary)|
address format|number and arrangement of address fields in a computer instruction.|ISO/IEC/IEEE 24765:2017 Systems and software engineering-Vocabulary
address format|number and arrangement of elements within an address, such as the elements needed to identify a particular channel, device, disk sector, and record in magnetic disk storage (ISO/IEC/IEEE 24765:2017 Systems and software engineering-Vocabulary)|
address modification|arithmetic, logical, or syntactic operation performed on an address (ISO/IEC/IEEE|
address space|addresses that a computer program can access|ISO/IEC/IEEE 24765:2017 Systems and software engineering-Vocabulary
address space|number of memory locations that a central processing unit can address (ISO/IEC/IEEE 24765:2017 Systems and software engineering-Vocabulary)|
addressing exception|exception that occurs when a program calculates an address outside the bounds of the storage available to it (ISO/IEC/IEEE 24765:2017 Systems and software engineering-Vocabulary)|
addressing mode|method to search operand position in the instruction set architecture for a central processing unit|ISO/IEC/IEEE 24765d:2015
addressing range|address space specified and used by the instruction system of a computer (ISO/IEC/IEEE 24765d:2015)|
ADF|architecture description framework|ISO/IEC/IEEE 42010:2022, Software, systems and enterprise Architecture description, 3.5
adjusted size|a size based on the functional size multiplied by the technical complexity adjustment (ISO/IEC 20968:2002 Software engineering -- Mk II Function Point Analysis -- Counting Practices Manual, 10)|
adjusting leads and lags|technique used to find ways to bring project activities that are behind into alignment with a plan during project execution|
ADL|architecture description language|ISO/IEC/IEEE 42010:2022, Software, systems and enterprise Architecture description, 3.6
adoption process|set of activities by which an organization brings CASE tools into widespread use|ISO/IEC TR 14471:2007 Information technology--Software engineering--Guidelines for the adoption of CASE tools, 2.1.2
advanced profile|profile targeted at very small entities (VSEs) which want to sustain and grow as a competitive system or software development organization (ISO/IEC 29110-1-2:2024, Systems and software engineering Lifecycle profiles for Very Small Entities (VSEs) Part 1-2: Vocabulary, 3.3)|
adversarial attack|deliberate use of adversarial examples to cause a machine learning model to fail (ISO/IEC TR 29119-11:2020, Software and systems engineering--Software testing--Part 11: Guidelines on the testing of AI-based systems, 3.1.6)|
adversarial example|input to a machine learning model created by applying small perturbations to a working example that results in the model outputting an incorrect result with high confidence|ISO/IEC TR 29119-11:2020, Software and systems engineering--Software testing--Part 11: Guidelines on the testing of AI-based systems, 3.1.7
adversarial testing|testing approach based on the attempted creation and execution of adversarial examples to identify defects in a machine learning model (ISO/IEC TR 29119-11:2020, Software and systems engineering--Software testing--Part 11: Guidelines on the testing of AI-based systems, 3.1.8)|
AE(I)|Application Entity (Invocation)|ISO/IEC 10746-1:1998 Information technology -- Open Distributed Processing -- Reference model: Overview
AE(I)|architecture evaluation|ISO/IEC/IEEE 42030:2019 Software, systems, and enterprise- -Architecture evaluation framework, 3.4
affect|feelings felt by humans|IEEE 7010-2020, IEEE Recommended Practice for Assessing the Impact of Autonomous and Intelligent Systems on Human Well-Being, 2.1
affect|change the attitude of a user or other stakeholder regarding a decision to acquire or use a system (ISO/IEC 25019:2023, Systems and software engineering Systems and software Quality Requirements and Evaluation (SQuaRE) Quality-in-use model, 3.1.1)|
affect|internal state experienced or expressed by a subject, such as emotion, mood, or cognition (IEEE 7014-2024, IEEE Standard for Ethical Considerations in Emulated Empathy in Autonomous and Intelligent Systems, 3.1)|
affective computing|study and development of systems and devices that can recognize, interpret, process, and simulate human affect|IEEE 7014-2024, IEEE Standard for Ethical Considerations in Emulated Empathy in Autonomous and Intelligent Systems, 3.1
affective rights|normative rights attributed to all humanity which directly relate to communication, thought, conviction, and emotion, and the privacy generally afforded to their development and expression|IEEE 7014-2024, IEEE Standard for Ethical Considerations in Emulated Empathy in Autonomous and Intelligent Systems, 3.1
afferent|pertaining to a flow of data or control from a subordinate module to a superordinate module in a software system (ISO/IEC/IEEE 24765:2017 Systems and software engineering-Vocabulary)|
affinity diagram|diagram that shows large numbers of ideas classified into groups for review and analysis (A Guide to the Project Management Body of Knowledge (PMBOK(R) Guide) -- Seventh Edition)|
affinity grouping|process of classifying items into similar categories or collections on the basis of their likeness (A Guide to the Project Management Body of Knowledge (PMBOK(R) Guide) -- Seventh Edition)|
agency|for users, data subjects, and other stakeholders, the nature and extent of the autonomy, freedom, access, and decision-making capacity with respect to the system (IEEE 7014-2024, IEEE Standard for Ethical Considerations in Emulated Empathy in Autonomous and Intelligent Systems, 3.1)|
agent|active enterprise object that has been delegated something (authorization, responsibility, provision of a service, etc.) by, and acts for, a party (in exercising the authorization, carrying out the responsibility, providing the service, etc.) (ISO/IEC 15414:2015 Information technology -- Open distributed processing -- Reference model -- Enterprise language, 6.6.8)|
aggregate|result of combining one or more physical, logical, or both, system elements|ISO/IEC/IEEE 24748- 6:2023 Systems and software engineering Life cycle management Part 6: System and software integration, 3.1.1
aggregate responsibility|broadly stated responsibility that is eventually refined as specific properties and|
aggregated resource utilization|degree to which a service utilizes efficiently aggregated resources from resource pooling in order to support multi-tenancy (ISO/IEC TS 25052-1:2022, Systems and software engineering-- Systems and software Quality Requirements and Evaluation (SQuaRE): cloud services--Part 1: Quality model, 3.1.1.2)|
aggregation|derived relationship between two elements that are groups of other elements that represents all individual relationships between the grouped elements of the two groups|ISO/IEC/IEEE 24765l:2024
aggregation method|method that combines a set of measurement values to create a composite value (ISO/IEC 33003:2015 Information technology--Process assessment--Requirements for process measurement frameworks, 3.1)|
agile|approach to development, delivery, and maintenance of products and services by enabling rapid response to feedback (ISO/IEC 33202:2024, Software and systems engineering Core agile practices, 3.2)|
agile concept|fundamental building block of agile|ISO/IEC 33202:2024, Software and systems engineering Core agile practices, 3.3
agile development|development approach based on iterative development, frequent inspection and adaptation, and incremental deliveries, in which requirements and solutions evolve through collaboration in cross-functional teams and through continual stakeholder feedback (ISO/IEC/IEEE 12207:2026 Systems and software engineering--Software life cycle processes, 3.1.4)|ISO/IEC/IEEE 26515: 2018 Systems and software engineering: Developing information for users in an agile environment, 3.1
agile development|software development approach based on iterative development, frequent inspection and adaptation, and incremental deliveries, in which requirements and solutions evolve through collaboration in cross- functional teams and through continuous stakeholder feedback|ISO/IEC/IEEE 24748-1:2024, Systems and software engineering--Life cycle management--Part 1: Guidelines for life cycle management, 3.4
agile environment|organizational culture, infrastructure, and methodologies that support agile development|ISO/IEC/IEEE 26515: 2018 Systems and software engineering: Developing information for users in an agile environment, 4.2
agile maturity|extent to which an organization, department, project, or team consistently applies agile values and principles that contribute to the achievement of its business needs|ISO/IEC TR 24587:2021, Software and systems engineering--Agile development--Agile adoption considerations, 3.2
agile team|organization or team using agile development methods and approaches|ISO/IEC/IEEE 26515: 2018 Systems and software engineering: Developing information for users in an agile environment, 3.3
agile team|small cross- functional group of people who collaborate on the development of a product, within an agile methodology (ISO/IEC TR 24587:2021, Software and systems engineering--Agile development--Agile adoption considerations, 3.3)|
agile team lead|individual responsible for ensuring an agile team (3.3) adheres to the organization's agile principles, practices, values, and processes (ISO/IEC TR 24587:2021, Software and systems engineering--Agile|
agreement|mutual acknowledgment of terms and conditions under which a working relationship is conducted (ISO/IEC/IEEE 12207:2026 Systems and software engineering--Software life cycle processes, 3.1.5) (ISO/IEC/IEEE 15288:2023 Systems and software engineering--System life cycle processes, 3.4)|
AHP|analytic hierarchy process|ISO/IEC/IEEE 24765:2017 Systems and software engineering-Vocabulary
AI|artificial intelligence|IEEE 7010-2020, IEEE Recommended Practice for Assessing the Impact of Autonomous and Intelligent Systems on Human Well-Being, 2.2
AI|inherent availability (Ai)|IEEE 982:2024, Standard for Measures of the Software Aspects of Dependability, 3.2
AI|abandon installation|IEEE 982:2024, Standard for Measures of the Software Aspects of Dependability, 3.2
AIS|artificial intelligence system|IEEE 1012-2024 IEEE Standard for System, Software, and Hardware Verification and Validation, 3
algebraic language|programming language that permits the construction of statements resembling algebraic expressions, such as Y = X + 5 (ISO/IEC/IEEE 24765:2017 Systems and software engineering-Vocabulary)|
algorithm|finite set of well-defined rules for the solution of a problem in a finite number of steps|ISO/IEC/IEEE 24765:2017 Systems and software engineering-Vocabulary
algorithm|sequence of operations for performing a specific task|ISO/IEC/IEEE 24765:2017 Systems and software engineering-Vocabulary
algorithm|finite ordered set of well-defined rules for the solution of a problem|ISO/IEC 2382:2015 Information technology -- Vocabulary
algorithm|an algorithm used to create a machine learning model from the training data|ISO/IEC TR 29119-11:2020, Software and systems engineering--Software testing--Part 11: Guidelines on the testing of AI-based systems
algorithmic drift|drift that occurs during learning or technical enhancements with a change in the systems processing of the same data (IEEE 7014-2024, IEEE Standard for Ethical Considerations in Emulated Empathy in Autonomous and Intelligent Systems, 3.1)|
algorithmic language|programming language designed for expressing algorithms (ISO/IEC/IEEE 24765:2017 Systems and software engineering-Vocabulary)|
