responsibility,purity,boundary,lifecycle,base_hadron,quark_parent,touchpoints,is_impossible,impossible_reason,visual_3d,emergence_rarity_2025,continente_cor,particula_fundamental,hadron_subtipo,forma_3d_base_variacao,exemplo_real_linguagem_neutro,regra_detecao
Create,Pure,Infrastructure,Ephemeral,ReadModel,Organization,"mutation,technical_details,deterministic",False,,sphere_crystalline+fade+dynamic,52.7%,Organization,Aggregates,ReadModel,sphere + transparent,UserDashboardView,"only queries, no behavior"
Create,Pure,Infrastructure,Immutable,FeatureModule,Organization,"mutation,technical_details,deterministic,thread_safe",True,Immutable cannot have mutating operations,dodecahedron_black_hole,0.0%,Organization,Modules,FeatureModule,dodecahedron + colored face,auth.module.ts,feature folder
Create,Pure,Adapter,Singleton,BackgroundThread,Execution,"mutation,shared_state,deterministic",False,,icosahedron_crystalline+crown+dynamic,58.7%,Execution,Executables,BackgroundThread,icosahedron + thread spiral,threading.Thread(target=...),spawn thread
Create,Pure,Adapter,Scoped,ImpureFunction,Logic & Flow,"mutation,deterministic",False,,octahedron_crystalline+dynamic,38.5%,Logic & Flow,Functions,ImpureFunction,octahedron + rough,saveToDB(),I/O or mutation
Create,Pure,Adapter,Transient,WebSocketHandler,Execution,"mutation,deterministic",False,,icosahedron_crystalline+dynamic,50.0%,Execution,Executables,WebSocketHandler,icosahedron + wave,@socket.on('message'),websocket event
Create,Pure,Adapter,Ephemeral,CacheWarmer,Execution,"mutation,deterministic",False,,icosahedron_crystalline+fade+dynamic,65.4%,Execution,Executables,CacheWarmer,icosahedron + fire,preload cache on startup,cache preload loop
Create,Pure,Adapter,Immutable,BitMask,Data Foundations,"mutation,deterministic,thread_safe",True,Immutable cannot have mutating operations,tetrahedron_black_hole,0.0%,Data Foundations,Bits,BitMask,tetrahedron + mask overlay,mode = 0b1010,binary literal
Create,Pure,Interface,Singleton,SeedData,Execution,"mutation,shared_state,deterministic",False,,icosahedron_crystalline+crown+dynamic,55.7%,Execution,Executables,SeedData,icosahedron + seed icon,rails db:seed,seed file execution
Create,Pure,Interface,Scoped,WorkerEntry,Execution,"mutation,deterministic",False,,icosahedron_crystalline+dynamic,35.7%,Execution,Executables,WorkerEntry,icosahedron + gear,consume('queue'),background worker
Create,Pure,Interface,Transient,ExpressionStmt,Logic & Flow,"mutation,deterministic",False,,cube_crystalline+dynamic,35.6%,Logic & Flow,Statements,ExpressionStmt,cube + neutral,logger.info(...),standalone call
Create,Pure,Interface,Ephemeral,MetricsExporter,Execution,"mutation,deterministic",False,,icosahedron_crystalline+fade+dynamic,59.8%,Execution,Executables,MetricsExporter,icosahedron + graph icon,prometheus_client.start_http_server,metrics library init
Create,Pure,Interface,Immutable,IfBranch,Logic & Flow,"mutation,deterministic,thread_safe",True,Immutable cannot have mutating operations,torus_black_hole,0.0%,Logic & Flow,Control Structures,IfBranch,torus + split,if user.is_admin,if/else
Create,Pure,Test,Singleton,LoopFor,Logic & Flow,"mutation,shared_state,deterministic",False,,torus_crystalline+crown+dynamic,51.6%,Logic & Flow,Control Structures,LoopFor,torus + rotating,for item in list,for loop
Create,Pure,Test,Scoped,InfrastructureAdapter,Organization,"mutation,deterministic",False,,dodecahedron_crystalline+dynamic,59.9%,Organization,Modules,InfrastructureAdapter,dodecahedron + plug,PostgresUserRepository,implements port
Create,Pure,Test,Transient,ConfigFile,Organization,"mutation,deterministic",False,,cube_crystalline+dynamic,47.1%,Organization,Files,ConfigFile,cube + gear,config.yaml,config/extension
Create,Pure,Test,Ephemeral,Validator,Logic & Flow,"mutation,deterministic",False,,octahedron_crystalline+fade+dynamic,53.3%,Logic & Flow,Functions,Validator,octahedron + shield,"validate(schema, data)",throws on invalid
Create,Pure,Test,Immutable,QueueWorker,Execution,"mutation,deterministic,thread_safe",True,Immutable cannot have mutating operations,icosahedron_black_hole,0.0%,Execution,Executables,QueueWorker,icosahedron + gear + queue arrow,worker.process(job),loop + queue.pop
Create,Impure,Domain,Singleton,Middleware,Logic & Flow,"mutation,shared_state,business_rules",False,,octahedron_crown+dynamic,44.5%,Logic & Flow,Functions,Middleware,octahedron + layered,authMiddleware,next()/await next
Create,Impure,Domain,Scoped,EnumValue,Data Foundations,"mutation,business_rules",False,,icosahedron_dynamic,69.9%,Data Foundations,Primitives,EnumValue,icosahedron + colored ring,Status::Active,enum variant access
Create,Impure,Domain,Transient,Coroutine,Execution,"mutation,business_rules",False,,icosahedron_dynamic,35.5%,Execution,Executables,Coroutine,icosahedron + wave pattern,async def task(),async def / async function
Create,Impure,Domain,Ephemeral,ByteArray,Data Foundations,"mutation,business_rules",False,,cube_fade+dynamic,49.7%,Data Foundations,Bytes,ByteArray,cube + grid texture,buf = bytearray(256),bytearray / Buffer.alloc
Create,Impure,Domain,Immutable,Assignment,Logic & Flow,"mutation,thread_safe,business_rules",True,Immutable cannot have mutating operations,cube_black_hole,0.0%,Logic & Flow,Statements,Assignment,cube + arrow in,x = y,= operator
Create,Impure,Application,Singleton,Entity,Organization,"mutation,identity,shared_state,state",False,,sphere_crown+dynamic,90.1%,Organization,Aggregates,Entity,sphere + glowing core,"User, Order",has identity (ID field)
Create,Impure,Application,Scoped,SwitchCase,Logic & Flow,mutation,False,,torus_dynamic,64.4%,Logic & Flow,Control Structures,SwitchCase,torus + multi-ring,match action,switch/match
Create,Impure,Application,Transient,Factory,Organization,"mutation,lifecycle,creation,coordination",False,,sphere_dynamic,54.6%,Organization,Aggregates,Factory,sphere + spark,UserFactory.create(...),static create method
Create,Impure,Application,Ephemeral,PureFunction,Logic & Flow,mutation,False,,octahedron_fade+dynamic,36.4%,Logic & Flow,Functions,PureFunction,octahedron + smooth,"add(a,b) => a+b",no side effects detectable
Create,Impure,Application,Immutable,Float,Data Foundations,"mutation,thread_safe",True,Immutable cannot have mutating operations,icosahedron_black_hole,0.0%,Data Foundations,Primitives,Float,icosahedron + soft glow,price: f64,float type
Create,Impure,Infrastructure,Singleton,StringLiteral,Data Foundations,"mutation,technical_details,shared_state",False,,icosahedron_crown+dynamic,57.2%,Data Foundations,Primitives,StringLiteral,icosahedron + text wrap,"""user-123""",string literal
Create,Impure,Infrastructure,Scoped,MessageConsumer,Execution,"mutation,technical_details",False,,icosahedron_dynamic,53.9%,Execution,Executables,MessageConsumer,icosahedron + rabbit/kafka icon,"@KafkaListener, channel.bind",annotation com Listener
Create,Impure,Infrastructure,Transient,GracefulShutdown,Execution,"mutation,technical_details",False,,icosahedron_dynamic,45.4%,Execution,Executables,GracefulShutdown,icosahedron + soft glow fade,server.shutdown() on SIGTERM,signal handler
Create,Impure,Infrastructure,Ephemeral,Parameter,Foundations,"mutation,technical_details",False,,cylinder_fade+dynamic,53.8%,Foundations,Variables,Parameter,cylinder + arrow tip,fn process(id: UUID),function parameter
Create,Impure,Infrastructure,Immutable,LambdaEntry,Execution,"mutation,technical_details,thread_safe",True,Immutable cannot have mutating operations,icosahedron_black_hole,0.0%,Execution,Executables,LambdaEntry,icosahedron + cloud,exports.handler,AWS Lambda pattern
Create,Impure,Adapter,Singleton,LoopWhile,Logic & Flow,"mutation,shared_state",False,,torus_crown+dynamic,48.7%,Logic & Flow,Control Structures,LoopWhile,torus + pulsing,while running,while loop
Create,Impure,Adapter,Scoped,HealthCheck,Execution,mutation,False,,icosahedron_dynamic,40.1%,Execution,Executables,HealthCheck,icosahedron + heartbeat,GET /healthz,route name contains health
Create,Impure,Adapter,Transient,KubernetesJob,Execution,mutation,False,,icosahedron_dynamic,21.1%,Execution,Executables,KubernetesJob,icosahedron + helm icon,kind: Job em YAML,Kubernetes manifest + spec.job
Create,Impure,Adapter,Ephemeral,InstanceField,Foundations,mutation,False,,cylinder_fade+dynamic,67.7%,Foundations,Variables,InstanceField,cylinder + medium,this.balance,this/self field access
Create,Impure,Adapter,Immutable,MigrationFile,Organization,"mutation,thread_safe",True,Immutable cannot have mutating operations,cube_black_hole,0.0%,Organization,Files,MigrationFile,cube + arrow up,2024_add_users.rb,migration pattern
Create,Impure,Interface,Singleton,BitFlag,Data Foundations,"mutation,shared_state",False,,tetrahedron_crown+dynamic,57.2%,Data Foundations,Bits,BitFlag,tetrahedron + glow bit,flags & MASK_ADMIN,bit operation + constant mask
Create,Impure,Interface,Scoped,CLIEntry,Execution,mutation,False,,icosahedron_dynamic,34.6%,Execution,Executables,CLIEntry,icosahedron + terminal,@click.command,CLI decorator
Create,Impure,Interface,Transient,CircuitBreakerInit,Execution,mutation,False,,icosahedron_dynamic,65.4%,Execution,Executables,CircuitBreakerInit,icosahedron + broken chain,hystrix.Go(),circuit breaker lib
Create,Impure,Interface,Ephemeral,AggregateRoot,Organization,"mutation,identity,state",False,,sphere_fade+dynamic,60.0%,Organization,Aggregates,AggregateRoot,sphere + gold crown,Order with business invariants,raises domain events
Create,Impure,Interface,Immutable,RateLimiter,Execution,"mutation,thread_safe",True,Immutable cannot have mutating operations,icosahedron_black_hole,0.0%,Execution,Executables,RateLimiter,icosahedron + hourglass,limiter.Allow(),rate limit call
Create,Impure,Test,Singleton,SelfHealingProbe,Execution,"mutation,shared_state",False,,icosahedron_crown+dynamic,11.8%,Execution,Executables,SelfHealingProbe,icosahedron + healing glow,liveness probe that restarts,liveness + restartPolicy
Create,Impure,Test,Scoped,AsyncFunction,Logic & Flow,mutation,False,,octahedron_dynamic,43.6%,Logic & Flow,Functions,AsyncFunction,octahedron + orbit ring,async fetchData(),async/await or Promise
Create,Impure,Test,Transient,Mapper,Logic & Flow,mutation,False,,octahedron_dynamic,41.7%,Logic & Flow,Functions,Mapper,octahedron + arrow chain,toDto(entity),*To*/Map*/Convert
Create,Impure,Test,Ephemeral,DomainPort,Organization,mutation,False,,dodecahedron_fade+dynamic,36.3%,Organization,Modules,DomainPort,dodecahedron + socket,UserRepository interface,interface + domain name
Create,Impure,Test,Immutable,BoundedContext,Organization,"mutation,thread_safe",True,Immutable cannot have mutating operations,dodecahedron_black_hole,0.0%,Organization,Modules,BoundedContext,dodecahedron + thick border,"billing/, identity/",own folder + own models
Create,Idempotent,Domain,Singleton,ApplicationPort,Organization,"mutation,shared_state,business_rules",False,,dodecahedron_crown+dynamic,30.1%,Organization,Modules,ApplicationPort,dodecahedron + arrow,UserService interface,used by use cases
Create,Idempotent,Domain,Scoped,GlobalVar,Foundations,"mutation,business_rules",False,,cylinder_dynamic,58.9%,Foundations,Variables,GlobalVar,cylinder + glowing,GLOBAL_CACHE,module-level mutable
Create,Idempotent,Domain,Transient,FeatureFlagCheck,Execution,"mutation,business_rules",False,,icosahedron_dynamic,58.8%,Execution,Executables,FeatureFlagCheck,icosahedron + toggle,"fflag.Enabled(""new-ui"")",feature flag check
Create,Idempotent,Domain,Ephemeral,LoggerInit,Execution,"mutation,business_rules",False,,icosahedron_fade+dynamic,68.9%,Execution,Executables,LoggerInit,icosahedron + log icon,logging.basicConfig,global logger setup
Create,Idempotent,Domain,Immutable,CommandHandler,Logic & Flow,"mutation,business_logic,coordination,thread_safe,business_rules",True,Immutable cannot have mutating operations,octahedron_black_hole,0.0%,Logic & Flow,Functions,CommandHandler,octahedron + gold ring,handle(CreateUserCommand),name contains Handle + Command
Create,Idempotent,Application,Singleton,Generator,Logic & Flow,"mutation,shared_state",False,,octahedron_crown+dynamic,60.5%,Logic & Flow,Functions,Generator,octahedron + spiral,function* ids(),yield keyword
Create,Idempotent,Application,Scoped,MigrationRunner,Execution,mutation,False,,icosahedron_dynamic,50.3%,Execution,Executables,MigrationRunner,icosahedron + database + arrow up,flask-migrate upgrade,migration command
Create,Idempotent,Application,Transient,ChaosMonkey,Execution,mutation,False,,icosahedron_dynamic,2.5%,Execution,Executables,ChaosMonkey,icosahedron + monkey face,random failure injection,chaos library
Create,Idempotent,Application,Ephemeral,Integer,Data Foundations,mutation,False,,icosahedron_fade+dynamic,55.0%,Data Foundations,Primitives,Integer,icosahedron + metallic,count: i64,integer type
Create,Idempotent,Application,Immutable,APIHandler,Execution,"mutation,thread_safe",True,Immutable cannot have mutating operations,icosahedron_black_hole,0.0%,Execution,Executables,APIHandler,icosahedron + globe,"@app.get(""/users"")",route decorator
Create,Idempotent,Infrastructure,Singleton,StaticField,Foundations,"mutation,technical_details,shared_state",False,,cylinder_crown+dynamic,63.7%,Foundations,Variables,StaticField,cylinder + tall,Config.MAX_RETRIES,static/class field
Create,Idempotent,Infrastructure,Scoped,DependencyInjectionContainer,Execution,"mutation,technical_details",False,,icosahedron_dynamic,50.3%,Execution,Executables,DependencyInjectionContainer,icosahedron + syringe,services.AddSingleton<>,DI container registration
Create,Idempotent,Infrastructure,Transient,ArithmeticExpr,Logic & Flow,"mutation,technical_details",False,,cone_dynamic,38.0%,Logic & Flow,Expressions,ArithmeticExpr,cone + orange glow,a + b * c,arithmetic ops
Create,Idempotent,Infrastructure,Ephemeral,ReturnStmt,Logic & Flow,"mutation,technical_details",False,,cube_fade+dynamic,45.0%,Logic & Flow,Statements,ReturnStmt,cube + arrow up,return result,return keyword
Create,Idempotent,Infrastructure,Immutable,Closure,Logic & Flow,"mutation,technical_details,thread_safe",True,Immutable cannot have mutating operations,octahedron_black_hole,0.0%,Logic & Flow,Functions,Closure,octahedron + inner glow,items.map(x => x*2),captures outer scope
Create,Idempotent,Adapter,Singleton,EventHandler,Logic & Flow,"mutation,shared_state",False,,octahedron_crown+dynamic,36.5%,Logic & Flow,Functions,EventHandler,octahedron + pulse,@Subscribe(UserCreated),@On/@Subscribe decorator
Create,Idempotent,Adapter,Scoped,ValueObject,Organization,"validation,mutation,immutability,equality",True,ValueObject is immutable,sphere_black_hole,0.0%,Organization,Aggregates,ValueObject,sphere + crystalline,"Email, Money",immutable + equality by value
Create,Idempotent,Adapter,Transient,Boolean,Data Foundations,mutation,False,,icosahedron_dynamic,68.1%,Data Foundations,Primitives,Boolean,icosahedron + binary glow,is_active: bool,type bool
Create,Idempotent,Adapter,Ephemeral,CallExpr,Logic & Flow,mutation,False,,cone_fade+dynamic,66.9%,Logic & Flow,Expressions,CallExpr,cone + arrow out,service.save(user),function call
Create,Idempotent,Adapter,Immutable,TestFile,Organization,"mutation,thread_safe",True,Immutable cannot have mutating operations,cube_black_hole,0.0%,Organization,Files,TestFile,cube + check,user.test.ts,test/jest/spec
Create,Idempotent,Interface,Singleton,Actor,Execution,"mutation,shared_state",False,,icosahedron_crown+dynamic,66.7%,Execution,Executables,Actor,icosahedron + envelope,"class MyActor(Actor) (Akka, Orleans)",herda de Actor
Create,Idempotent,Interface,Scoped,TryCatch,Logic & Flow,mutation,False,,torus_dynamic,54.0%,Logic & Flow,Control Structures,TryCatch,torus + shield,try { ... } catch,try/except
Create,Idempotent,Interface,Transient,MainEntry,Execution,mutation,False,,icosahedron_dynamic,49.5%,Execution,Executables,MainEntry,icosahedron + crown,"main(), if __name__",entry point
Create,Idempotent,Interface,Ephemeral,QueryHandler,Logic & Flow,"optimization,mutation,projection,read_access",False,,octahedron_fade+dynamic,23.4%,Logic & Flow,Functions,QueryHandler,octahedron + blue ring,handle(GetUserQuery),name contains Handle + Query
Create,Idempotent,Interface,Immutable,GraphQLResolver,Execution,"mutation,thread_safe",True,Immutable cannot have mutating operations,icosahedron_black_hole,0.0%,Execution,Executables,GraphQLResolver,icosahedron + graph,Query: { user },GraphQL field
Create,Idempotent,Test,Singleton,LocalVar,Foundations,"mutation,shared_state",False,,cylinder_crown+dynamic,44.5%,Foundations,Variables,LocalVar,cylinder + short,let total = 0;,local declaration
Create,Idempotent,Test,Scoped,SourceFile,Organization,mutation,False,,cube_dynamic,69.4%,Organization,Files,SourceFile,cube + language icon,user.py,.py/.ts/.java
Create,Idempotent,Test,Transient,ContainerEntry,Execution,mutation,False,,icosahedron_dynamic,62.3%,Execution,Executables,ContainerEntry,icosahedron + docker logo overlay,"CMD [""node"",""app.js""] em Dockerfile",Dockerfile ENTRYPOINT/CMD
Create,Idempotent,Test,Ephemeral,DTO,Organization,mutation,False,,sphere_fade+dynamic,39.6%,Organization,Aggregates,DTO,sphere + flat,CreateUserRequest,"only data, no behavior"
Create,Idempotent,Test,Immutable,LiteralExpr,Logic & Flow,"mutation,thread_safe",True,Immutable cannot have mutating operations,cone_black_hole,0.0%,Logic & Flow,Expressions,LiteralExpr,cone + solid,"42, ""hello""",literal
Create,ExternalIO,Domain,Singleton,ConfigLoader,Execution,"mutation,shared_state,business_rules,side_effects",False,,icosahedron_glowing+crown+dynamic,39.6%,Execution,Executables,ConfigLoader,icosahedron + config gear,viper.ReadInConfig(),config load call
Create,ExternalIO,Domain,Scoped,CronJob,Execution,"mutation,business_rules,side_effects",False,,icosahedron_glowing+dynamic,52.7%,Execution,Executables,CronJob,icosahedron + clock ring,"schedule: ""0 0 * * *""",cron schedule field
Create,ExternalIO,Domain,Transient,ReadModel,Organization,"mutation,business_rules,side_effects",False,,sphere_glowing+dynamic,33.2%,Organization,Aggregates,ReadModel,sphere + transparent,UserDashboardView,"only queries, no behavior"
Create,ExternalIO,Domain,Ephemeral,FeatureModule,Organization,"mutation,business_rules,side_effects",False,,dodecahedron_glowing+fade+dynamic,59.3%,Organization,Modules,FeatureModule,dodecahedron + colored face,auth.module.ts,feature folder
Create,ExternalIO,Domain,Immutable,BackgroundThread,Execution,"mutation,thread_safe,business_rules,side_effects",True,Immutable cannot have mutating operations,icosahedron_black_hole,0.0%,Execution,Executables,BackgroundThread,icosahedron + thread spiral,threading.Thread(target=...),spawn thread
Create,ExternalIO,Application,Singleton,ImpureFunction,Logic & Flow,"mutation,shared_state,side_effects",False,,octahedron_glowing+crown+dynamic,62.6%,Logic & Flow,Functions,ImpureFunction,octahedron + rough,saveToDB(),I/O or mutation
Create,ExternalIO,Application,Scoped,WebSocketHandler,Execution,"mutation,side_effects",False,,icosahedron_glowing+dynamic,69.1%,Execution,Executables,WebSocketHandler,icosahedron + wave,@socket.on('message'),websocket event
Create,ExternalIO,Application,Transient,CacheWarmer,Execution,"mutation,side_effects",False,,icosahedron_glowing+dynamic,51.3%,Execution,Executables,CacheWarmer,icosahedron + fire,preload cache on startup,cache preload loop
Create,ExternalIO,Application,Ephemeral,BitMask,Data Foundations,"mutation,side_effects",False,,tetrahedron_glowing+fade+dynamic,35.0%,Data Foundations,Bits,BitMask,tetrahedron + mask overlay,mode = 0b1010,binary literal
Create,ExternalIO,Application,Immutable,SeedData,Execution,"mutation,thread_safe,side_effects",True,Immutable cannot have mutating operations,icosahedron_black_hole,0.0%,Execution,Executables,SeedData,icosahedron + seed icon,rails db:seed,seed file execution
Create,ExternalIO,Infrastructure,Singleton,WorkerEntry,Execution,"mutation,technical_details,shared_state,side_effects",False,,icosahedron_glowing+crown+dynamic,56.4%,Execution,Executables,WorkerEntry,icosahedron + gear,consume('queue'),background worker
Create,ExternalIO,Infrastructure,Scoped,ExpressionStmt,Logic & Flow,"mutation,technical_details,side_effects",False,,cube_glowing+dynamic,67.9%,Logic & Flow,Statements,ExpressionStmt,cube + neutral,logger.info(...),standalone call
Create,ExternalIO,Infrastructure,Transient,MetricsExporter,Execution,"mutation,technical_details,side_effects",False,,icosahedron_glowing+dynamic,36.6%,Execution,Executables,MetricsExporter,icosahedron + graph icon,prometheus_client.start_http_server,metrics library init
Create,ExternalIO,Infrastructure,Ephemeral,IfBranch,Logic & Flow,"mutation,technical_details,side_effects",False,,torus_glowing+fade+dynamic,51.1%,Logic & Flow,Control Structures,IfBranch,torus + split,if user.is_admin,if/else
Create,ExternalIO,Infrastructure,Immutable,LoopFor,Logic & Flow,"mutation,technical_details,thread_safe,side_effects",True,Immutable cannot have mutating operations,torus_black_hole,0.0%,Logic & Flow,Control Structures,LoopFor,torus + rotating,for item in list,for loop
Create,ExternalIO,Adapter,Singleton,InfrastructureAdapter,Organization,"mutation,shared_state,side_effects",False,,dodecahedron_glowing+crown+dynamic,54.3%,Organization,Modules,InfrastructureAdapter,dodecahedron + plug,PostgresUserRepository,implements port
Create,ExternalIO,Adapter,Scoped,ConfigFile,Organization,"mutation,side_effects",False,,cube_glowing+dynamic,68.6%,Organization,Files,ConfigFile,cube + gear,config.yaml,config/extension
Create,ExternalIO,Adapter,Transient,Validator,Logic & Flow,"mutation,side_effects",False,,octahedron_glowing+dynamic,67.2%,Logic & Flow,Functions,Validator,octahedron + shield,"validate(schema, data)",throws on invalid
Create,ExternalIO,Adapter,Ephemeral,QueueWorker,Execution,"mutation,side_effects",False,,icosahedron_glowing+fade+dynamic,60.2%,Execution,Executables,QueueWorker,icosahedron + gear + queue arrow,worker.process(job),loop + queue.pop
Create,ExternalIO,Adapter,Immutable,Middleware,Logic & Flow,"mutation,thread_safe,side_effects",True,Immutable cannot have mutating operations,octahedron_black_hole,0.0%,Logic & Flow,Functions,Middleware,octahedron + layered,authMiddleware,next()/await next
Create,ExternalIO,Interface,Singleton,EnumValue,Data Foundations,"mutation,shared_state,side_effects",False,,icosahedron_glowing+crown+dynamic,57.6%,Data Foundations,Primitives,EnumValue,icosahedron + colored ring,Status::Active,enum variant access
Create,ExternalIO,Interface,Scoped,Coroutine,Execution,"mutation,side_effects",False,,icosahedron_glowing+dynamic,58.5%,Execution,Executables,Coroutine,icosahedron + wave pattern,async def task(),async def / async function
Create,ExternalIO,Interface,Transient,ByteArray,Data Foundations,"mutation,side_effects",False,,cube_glowing+dynamic,46.0%,Data Foundations,Bytes,ByteArray,cube + grid texture,buf = bytearray(256),bytearray / Buffer.alloc
Create,ExternalIO,Interface,Ephemeral,Assignment,Logic & Flow,"mutation,side_effects",False,,cube_glowing+fade+dynamic,56.9%,Logic & Flow,Statements,Assignment,cube + arrow in,x = y,= operator
Create,ExternalIO,Interface,Immutable,Entity,Organization,"mutation,identity,thread_safe,state,side_effects",True,Immutable cannot have mutating operations,sphere_black_hole,0.0%,Organization,Aggregates,Entity,sphere + glowing core,"User, Order",has identity (ID field)
Create,ExternalIO,Test,Singleton,SwitchCase,Logic & Flow,"mutation,shared_state,side_effects",False,,torus_glowing+crown+dynamic,44.9%,Logic & Flow,Control Structures,SwitchCase,torus + multi-ring,match action,switch/match
Create,ExternalIO,Test,Scoped,Factory,Organization,"mutation,coordination,lifecycle,creation,side_effects",False,,sphere_glowing+dynamic,77.0%,Organization,Aggregates,Factory,sphere + spark,UserFactory.create(...),static create method
Create,ExternalIO,Test,Transient,PureFunction,Logic & Flow,"mutation,side_effects",False,,octahedron_glowing+dynamic,48.1%,Logic & Flow,Functions,PureFunction,octahedron + smooth,"add(a,b) => a+b",no side effects detectable
Create,ExternalIO,Test,Ephemeral,Float,Data Foundations,"mutation,side_effects",False,,icosahedron_glowing+fade+dynamic,39.9%,Data Foundations,Primitives,Float,icosahedron + soft glow,price: f64,float type
Create,ExternalIO,Test,Immutable,StringLiteral,Data Foundations,"mutation,thread_safe,side_effects",True,Immutable cannot have mutating operations,icosahedron_black_hole,0.0%,Data Foundations,Primitives,StringLiteral,icosahedron + text wrap,"""user-123""",string literal
Read,Pure,Domain,Singleton,MessageConsumer,Execution,"deterministic,shared_state,business_rules,read_access",False,,icosahedron_crystalline+crown+stable,37.8%,Execution,Executables,MessageConsumer,icosahedron + rabbit/kafka icon,"@KafkaListener, channel.bind",annotation com Listener
Read,Pure,Domain,Scoped,GracefulShutdown,Execution,"deterministic,business_rules,read_access",False,,icosahedron_crystalline+stable,63.0%,Execution,Executables,GracefulShutdown,icosahedron + soft glow fade,server.shutdown() on SIGTERM,signal handler
Read,Pure,Domain,Transient,Parameter,Foundations,"deterministic,business_rules,read_access",False,,cylinder_crystalline+stable,42.4%,Foundations,Variables,Parameter,cylinder + arrow tip,fn process(id: UUID),function parameter
Read,Pure,Domain,Ephemeral,LambdaEntry,Execution,"deterministic,business_rules,read_access",False,,icosahedron_crystalline+fade+stable,16.9%,Execution,Executables,LambdaEntry,icosahedron + cloud,exports.handler,AWS Lambda pattern
Read,Pure,Domain,Immutable,LoopWhile,Logic & Flow,"deterministic,thread_safe,business_rules,read_access",False,,torus_crystalline+frozen+stable,54.7%,Logic & Flow,Control Structures,LoopWhile,torus + pulsing,while running,while loop
Read,Pure,Application,Singleton,HealthCheck,Execution,"deterministic,shared_state,read_access",False,,icosahedron_crystalline+crown+stable,41.1%,Execution,Executables,HealthCheck,icosahedron + heartbeat,GET /healthz,route name contains health
Read,Pure,Application,Scoped,KubernetesJob,Execution,"deterministic,read_access",False,,icosahedron_crystalline+stable,19.7%,Execution,Executables,KubernetesJob,icosahedron + helm icon,kind: Job em YAML,Kubernetes manifest + spec.job
Read,Pure,Application,Transient,InstanceField,Foundations,"deterministic,read_access",False,,cylinder_crystalline+stable,51.6%,Foundations,Variables,InstanceField,cylinder + medium,this.balance,this/self field access
